Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/27,47.571422,-122.34976,116
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/28,47.57141,-122.347968,115
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/28,47.571422,-122.34976,139
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/29,47.57141,-122.347968,119
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/29,47.571422,-122.34976,116
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/3,47.57141,-122.347968,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/3,47.571422,-122.34976,146
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/30,47.57141,-122.347968,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/30,47.571422,-122.34976,141
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/31,47.57141,-122.347968,154
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/31,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/4,47.57141,-122.347968,123
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/4,47.571422,-122.34976,111
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/5,47.57141,-122.347968,126
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/5,47.571422,-122.34976,126
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/6,47.57141,-122.347968,173
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/6,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/7,47.57141,-122.347968,168
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/7,47.571422,-122.34976,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/8,47.57141,-122.347968,127
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/8,47.571422,-122.34976,103
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/9,47.57141,-122.347968,131
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/9,47.571422,-122.34976,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/1,47.57141,-122.347968,9
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/1,47.571422,-122.34976,170
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/10,47.57141,-122.347968,162
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/10,47.571422,-122.34976,195
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/11,47.57141,-122.347968,176
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/11,47.571422,-122.34976,15
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/12,47.57141,-122.347968,172
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/12,47.571422,-122.34976,204
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/13,47.57141,-122.347968,17
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/13,47.571422,-122.34976,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/14,47.57141,-122.347968,163
